IP,Responded,Request Bytes,Response Bytes,Amplification Factor,Latency (s)
209.38.28.187,Yes,36,47,1.31,0.154
162.0.236.85,Yes,36,42,1.17,0.011
200.110.216.27,Yes,36,247,6.86,0.21
98.98.247.35,Yes,36,757,21.03,0.302
119.40.104.124,Yes,36,757,21.03,0.253
192.3.158.53,Yes,36,112,3.11,0.061
46.163.224.23,No (TimeoutError),36,,,
39.52.55.43,No (TimeoutError),36,,,
168.195.103.1,Yes,36,499,13.86,0.38
195.138.73.170,Yes,36,957,26.58,0.385
45.88.172.237,Yes,36,757,21.03,0.131
93.171.227.193,Yes,36,757,21.03,0.532
121.166.237.92,Yes,36,512,14.22,0.261
45.125.123.141,Yes,36,757,21.03,0.339
216.137.250.108,Yes,36,757,21.03,0.205
80.115.136.245,Yes,36,757,21.03,0.292
8.8.4.4,Yes,36,757,21.03,0.003
45.236.170.200,No (TimeoutError),36,,,
167.56.112.100,No (TimeoutError),36,,,
200.57.11.50,No (TimeoutError),36,,,
188.130.125.82,Yes,36,1097,30.47,0.279
103.22.173.234,No (TimeoutError),36,,,
103.115.119.159,No (TimeoutError),36,,,
45.117.63.105,Yes,36,757,21.03,0.403
45.174.176.90,Yes,36,757,21.03,0.503
103.83.165.25,Yes,36,757,21.03,0.507
83.220.242.165,No (TimeoutError),36,,,
89.113.4.188,Yes,36,25,0.69,0.348
89.179.244.210,Yes,36,757,21.03,0.387
83.220.249.46,Yes,36,757,21.03,0.429
89.113.10.1,Yes,36,512,14.22,0.323
194.186.221.219,Yes,36,757,21.03,0.312
89.113.2.75,Yes,36,757,21.03,0.302
89.113.4.210,No (TimeoutError),36,,,
37.9.243.42,Yes,36,757,21.03,0.245
83.220.248.228,Yes,36,757,21.03,0.324
46.16.98.229,No (TimeoutError),36,,,
89.113.0.140,Yes,36,757,21.03,0.26
89.113.1.216,Yes,36,757,21.03,0.241
89.113.0.223,No (TimeoutError),36,,,
83.220.247.178,Yes,36,513,14.25,1.352
83.220.252.155,Yes,36,757,21.03,0.233
89.113.11.50,No (TimeoutError),36,,,
85.115.254.240,Yes,36,757,21.03,0.311
89.113.6.157,No (TimeoutError),36,,,
46.0.195.10,No (TimeoutError),36,,,
31.13.151.180,No (TimeoutError),36,,,
83.220.240.97,No (TimeoutError),36,,,
24.240.146.9,Yes,36,757,21.03,0.123
24.240.146.7,Yes,36,757,21.03,0.395
98.8.35.158,Yes,36,757,21.03,0.266
24.240.146.8,Yes,36,757,21.03,0.366
208.65.123.186,Yes,36,1097,30.47,0.327
75.114.90.94,Yes,36,757,21.03,0.311
24.93.72.158,No (TimeoutError),36,,,
68.114.44.181,Yes,36,757,21.03,0.239
208.65.123.187,Yes,36,1053,29.25,0.298
68.114.44.180,Yes,36,757,21.03,0.209
68.114.44.182,Yes,36,757,21.03,0.413
68.114.44.179,Yes,36,757,21.03,0.399
202.126.100.157,Yes,36,1053,29.25,1.014
23.101.227.227,Yes,36,1053,29.25,0.162
202.10.90.53,No (TimeoutError),36,,,
195.200.74.2,Yes,36,1081,30.03,0.379
31.135.195.57,No (TimeoutError),36,,,
103.132.136.10,No (TimeoutError),36,,,
